protocol,src_ip,src_port,dst_ip,dst_port,tcp_flag
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.207,52995,170.114.15.94,443,0x00
TCP,192.168.1.207,53561,104.85.1.131,443,0x40
TCP,192.168.1.207,52719,162.247.241.14,443,0x40
TCP,192.168.1.207,52719,162.247.241.14,443,0x40
TCP,162.247.241.14,443,192.168.1.207,52719,0x40
TCP,162.247.241.14,443,192.168.1.207,52719,0x40
TCP,104.85.1.131,443,192.168.1.207,53561,0x40
TCP,170.114.15.94,443,192.168.1.207,52995,0x40
TCP,162.247.241.14,443,192.168.1.207,52719,0x40
TCP,192.168.1.207,52719,162.247.241.14,443,0x40
TCP,192.168.1.207,53416,192.168.1.156,8008,0x40
TCP,192.168.1.156,8008,192.168.1.207,53416,0x40
UDP,192.168.1.194,44652,192.168.1.207,137,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.207,53536,140.82.114.25,443,0x40
TCP,140.82.114.25,443,192.168.1.207,53536,0x40
TCP,147.75.95.77,443,192.168.1.207,53599,0x40
TCP,147.75.95.77,443,192.168.1.207,53599,0x40
TCP,192.168.1.207,53599,147.75.95.77,443,0x40
UDP,192.168.1.194,54033,192.168.1.207,137,0x40
TCP,37.157.3.30,443,192.168.1.207,53605,0x40
TCP,37.157.3.30,443,192.168.1.207,53605,0x40
TCP,37.157.3.30,443,192.168.1.207,53605,0x40
TCP,192.168.1.207,53605,37.157.3.30,443,0x40
TCP,192.168.1.207,53605,37.157.3.30,443,0x40
TCP,37.157.3.30,443,192.168.1.207,53605,0x40
TCP,51.89.9.253,443,192.168.1.207,53604,0x40
TCP,192.168.1.207,53604,51.89.9.253,443,0x40
TCP,51.89.9.253,443,192.168.1.207,53604,0x40
TCP,192.168.1.207,53604,51.89.9.253,443,0x40
TCP,51.89.9.253,443,192.168.1.207,53604,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.207,53560,104.85.1.131,443,0x40
TCP,104.85.1.131,443,192.168.1.207,53560,0x40
TCP,192.168.1.207,53564,13.226.2.121,443,0x40
TCP,13.226.2.121,443,192.168.1.207,53564,0x00
TCP,192.168.1.207,53572,13.226.2.96,443,0x40
TCP,13.226.2.96,443,192.168.1.207,53572,0x00
TCP,192.168.1.207,53571,82.102.152.98,443,0x40
TCP,82.102.152.98,443,192.168.1.207,53571,0x40
TCP,192.168.1.207,53569,104.19.149.54,443,0x40
TCP,104.19.149.54,443,192.168.1.207,53569,0x40
TCP,192.168.1.207,53567,199.232.137.44,443,0x40
TCP,199.232.137.44,443,192.168.1.207,53567,0x40
UDP,192.168.1.207,50869,239.255.255.250,1900,0x00
UDP,192.168.1.156,50876,192.168.1.207,50869,0x40
TCP,192.168.1.207,53576,199.232.137.44,443,0x40
TCP,199.232.137.44,443,192.168.1.207,53576,0x40
TCP,192.168.1.207,53568,23.221.143.117,443,0x40
TCP,23.221.143.117,443,192.168.1.207,53568,0x40
UDP,192.168.1.207,50869,239.255.255.250,1900,0x00
UDP,192.168.1.156,47371,192.168.1.207,50869,0x40
TCP,192.168.1.207,53583,130.211.23.194,443,0x40
TCP,130.211.23.194,443,192.168.1.207,53583,0x00
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
TCP,192.168.1.156,8009,192.168.1.207,53417,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
UDP,192.168.1.207,50869,239.255.255.250,1900,0x00
UDP,192.168.1.156,55388,192.168.1.207,50869,0x40
TCP,162.247.241.14,443,192.168.1.207,52719,0x40
TCP,192.168.1.207,52719,162.247.241.14,443,0x40
UDP,192.168.1.207,50869,239.255.255.250,1900,0x00
UDP,192.168.1.156,52480,192.168.1.207,50869,0x40
TCP,192.168.1.207,53563,46.228.144.2,443,0x40
TCP,46.228.144.2,443,192.168.1.207,53563,0x40
TCP,192.168.1.207,53595,65.9.112.98,443,0x40
TCP,65.9.112.98,443,192.168.1.207,53595,0x00
TCP,192.168.1.207,53593,54.194.93.114,443,0x40
TCP,54.194.93.114,443,192.168.1.207,53593,0x40
TCP,192.168.1.207,53582,13.226.2.27,443,0x40
TCP,13.226.2.27,443,192.168.1.207,53582,0x00
TCP,192.168.1.207,53578,82.102.152.155,443,0x40
TCP,82.102.152.155,443,192.168.1.207,53578,0x40
TCP,192.168.1.207,53597,20.50.2.28,443,0x40
TCP,20.50.2.28,443,192.168.1.207,53597,0x40
TCP,192.168.1.207,53417,192.168.1.156,8009,0x40
